id,domain,pattern,tokens_hindi,tokens_english,switch_points,pair_type,text_a,text_b,label_semantic_equivalent,label_natural,label_code_switch_valid,len_a,len_b,len_diff,token_overlap_count,token_jaccard,same_token_set,position_displacement_mean,position_displacement_max,kendall_tau_distance,edit_distance_tokens,english_ratio,hindi_ratio,num_switch_points,is_base_tf,is_base_es,is_tf_es,switch_point_bucket,bleu,bertscore_p,bertscore_r,bertscore_f1
1,travel,EN-HN-HN-HN-HN,4,1,[0],base_tf,train kaha tak jati hai,kaha tak jati hai train,1.0,1.0,1.0,5,5,0,5,1.0,True,1.6,4.0,0.4,2,0.2,0.8,1,True,False,False,1_switch,0.7071067811865476,0.97963583,0.97963583,0.9796358
1,travel,EN-HN-HN-HN-HN,4,1,[0],base_es,train kaha tak jati hai,jati hai kaha tak train,1.0,0.0,0.0,5,5,0,5,1.0,True,2.4,4.0,0.8,4,0.2,0.8,1,False,True,False,1_switch,0.18125262430637384,0.9514753,0.9514753,0.9514753
1,travel,EN-HN-HN-HN-HN,4,1,[0],tf_es,kaha tak jati hai train,jati hai kaha tak train,1.0,0.0,0.0,5,5,0,5,1.0,True,1.6,2.0,0.4,4,0.2,0.8,1,False,False,True,1_switch,0.18125262430637384,0.9658852,0.9658852,0.9658852
2,travel,EN-EN-EN-HN-HN,3,2,"[0, 1]",base_tf,bus timing check karna hai,timing check karna hai bus ka,1.0,1.0,1.0,5,6,1,5,0.8333333333333334,False,1.6,4.0,0.4,3,0.4,0.6,2,True,False,False,2_switch,0.5789300674674098,0.965155,0.9458362,0.9553979
2,travel,EN-EN-EN-HN-HN,3,2,"[0, 1]",base_es,bus timing check karna hai,check karna hai bus ka timing,1.0,1.0,1.0,5,6,1,5,0.8333333333333334,False,2.6,4.0,0.6,5,0.4,0.6,2,False,True,False,2_switch,0.27862132228916886,0.95395374,0.937068,0.94543546
2,travel,EN-EN-EN-HN-HN,3,2,"[0, 1]",tf_es,timing check karna hai bus ka,check karna hai bus ka timing,1.0,1.0,1.0,6,6,0,6,1.0,True,1.6666666666666667,5.0,0.3333333333333333,2,0.4,0.6,2,False,False,True,2_switch,0.7952707287670506,0.96127677,0.96127677,0.96127677
3,travel,EN-HN-HN-EN-EN-HN-HN,5,2,"[0, 3]",base_tf,station ke paas taxi available hai kya,taxi available hai kya station ke paas,1.0,1.0,1.0,7,7,0,7,1.0,True,3.4285714285714284,4.0,0.5714285714285714,6,0.2857142857142857,0.7142857142857143,2,True,False,False,2_switch,0.5946035575013605,0.97772133,0.97772133,0.97772133
3,travel,EN-HN-HN-EN-EN-HN-HN,5,2,"[0, 3]",base_es,station ke paas taxi available hai kya,available hai kya station ke paas taxi,1.0,0.0,0.0,7,7,0,7,1.0,True,3.4285714285714284,4.0,0.5714285714285714,6,0.2857142857142857,0.7142857142857143,2,False,True,False,2_switch,0.5946035575013605,0.9721227,0.9721227,0.9721227
3,travel,EN-HN-HN-EN-EN-HN-HN,5,2,"[0, 3]",tf_es,taxi available hai kya station ke paas,available hai kya station ke paas taxi,1.0,0.0,0.0,7,7,0,7,1.0,True,1.7142857142857142,6.0,0.2857142857142857,2,0.2857142857142857,0.7142857142857143,2,False,False,True,2_switch,0.8408964152537146,0.98191744,0.98191744,0.98191744
4,travel,EN-HN-EN-EN-EN-HN-HN,3,4,"[0, 2, 3, 4]",base_tf,flight ka boarding pass print karwana hai,boarding pass print karwana hai flight ka,1.0,1.0,1.0,7,7,0,7,1.0,True,2.857142857142857,5.0,0.47619047619047616,4,0.5714285714285714,0.42857142857142855,4,True,False,False,3plus_switch,0.7071067811865476,0.968156,0.96815604,0.96815604
